subject,condition,replication,leg,joint,time,angle
6,3,9,2,3,0,30.1216912929406
6,3,9,2,3,1,30.1786584219336
6,3,9,2,3,2,30.1964759018433
6,3,9,2,3,3,30.1379448125017
6,3,9,2,3,4,30.0036304070066
6,3,9,2,3,5,29.8306209548902
6,3,9,2,3,6,29.6733005719556
6,3,9,2,3,7,29.5749952524778
6,3,9,2,3,8,29.5432946415604
6,3,9,2,3,9,29.5394445658631
6,3,9,2,3,10,29.4872023304968
6,3,9,2,3,11,29.2983596438157
6,3,9,2,3,12,28.903665788199
6,3,9,2,3,13,28.2746551079084
6,3,9,2,3,14,27.4283861708568
6,3,9,2,3,15,26.4168626675024
6,3,9,2,3,16,25.3085441711979
6,3,9,2,3,17,24.1689023186265
6,3,9,2,3,18,23.0449860900047
6,3,9,2,3,19,21.9584249742251
6,3,9,2,3,20,20.9085384209034
6,3,9,2,3,21,19.8822198281212
6,3,9,2,3,22,18.8637766881613
6,3,9,2,3,23,17.8403492419299
6,3,9,2,3,24,16.8027830187605
6,3,9,2,3,25,15.744539543561
6,3,9,2,3,26,14.6610923051963
6,3,9,2,3,27,13.550695141782
6,3,9,2,3,28,12.4159252482318
6,3,9,2,3,29,11.2655069732998
6,3,9,2,3,30,10.1157959005872
6,3,9,2,3,31,8.99038623925724
6,3,9,2,3,32,7.91755076765936
6,3,9,2,3,33,6.92678189298306
6,3,9,2,3,34,6.04568942126321
6,3,9,2,3,35,5.29646699557235
6,3,9,2,3,36,4.69090545101164
6,3,9,2,3,37,4.22442186625021
6,3,9,2,3,38,3.8720288381291
6,3,9,2,3,39,3.58988824110904
6,3,9,2,3,40,3.32425630005112
6,3,9,2,3,41,3.02510443410563
6,3,9,2,3,42,2.65766196858451
6,3,9,2,3,43,2.20692340820938
6,3,9,2,3,44,1.67553416621129
6,3,9,2,3,45,1.07851914723328
6,3,9,2,3,46,0.437161595600162
6,3,9,2,3,47,-0.226284086757749
6,3,9,2,3,48,-0.891964912987669
6,3,9,2,3,49,-1.54390374927649
6,3,9,2,3,50,-2.17066526194884
6,3,9,2,3,51,-2.76470974052083
6,3,9,2,3,52,-3.31833884271335
6,3,9,2,3,53,-3.81498656454753
6,3,9,2,3,54,-4.21928968049424
6,3,9,2,3,55,-4.47289229982215
6,3,9,2,3,56,-4.50246266903215
6,3,9,2,3,57,-4.23866330990814
6,3,9,2,3,58,-3.63848780043655
6,3,9,2,3,59,-2.70018847407921
6,3,9,2,3,60,-1.46553478589483
6,3,9,2,3,61,-0.0091490259888459
6,3,9,2,3,62,1.57886661446699
6,3,9,2,3,63,3.21072222781832
6,3,9,2,3,64,4.81476765733139
6,3,9,2,3,65,6.34588232726842
6,3,9,2,3,66,7.79229449258464
6,3,9,2,3,67,9.17585926683461
6,3,9,2,3,68,10.5417173636888
6,3,9,2,3,69,11.9393405433471
6,3,9,2,3,70,13.4032047793305
6,3,9,2,3,71,14.9414347841788
6,3,9,2,3,72,16.535367165438
6,3,9,2,3,73,18.1478057260829
6,3,9,2,3,74,19.7353824288923
6,3,9,2,3,75,21.2605564750847
6,3,9,2,3,76,22.6995267224173
6,3,9,2,3,77,24.0435115833092
6,3,9,2,3,78,25.2942907478514
6,3,9,2,3,79,26.4578097878307
6,3,9,2,3,80,27.5393458778175
6,3,9,2,3,81,28.5411769461522
6,3,9,2,3,82,29.462423827066
6,3,9,2,3,83,30.3005213682515
6,3,9,2,3,84,31.0532639466841
6,3,9,2,3,85,31.7195550726975
6,3,9,2,3,86,32.2976631523378
6,3,9,2,3,87,32.7821069727702
6,3,9,2,3,88,33.1612672919922
6,3,9,2,3,89,33.4170218568154
6,3,9,2,3,90,33.5266389570804
6,3,9,2,3,91,33.4673580503482
6,3,9,2,3,92,33.2230453724552
6,3,9,2,3,93,32.7914534511866
6,3,9,2,3,94,32.1903574945486
6,3,9,2,3,95,31.4621096485371
6,3,9,2,3,96,30.6742105494849
6,3,9,2,3,97,29.9117154011957
6,3,9,2,3,98,29.2596301288568
6,3,9,2,3,99,28.7805700323887
6,3,9,2,3,100,28.497735512037
