subject,condition,replication,leg,joint,time,angle
5,3,3,2,2,0,4.47386690244059
5,3,3,2,2,1,4.69507446658701
5,3,3,2,2,2,5.52082412214207
5,3,3,2,2,3,6.88930418649166
5,3,3,2,2,4,8.71931394371475
5,3,3,2,2,5,10.8985940314118
5,3,3,2,2,6,13.2769352199239
5,3,3,2,2,7,15.6699348207715
5,3,3,2,2,8,17.8767417457401
5,3,3,2,2,9,19.7084134634243
5,3,3,2,2,10,21.0189933594385
5,3,3,2,2,11,21.7286155504937
5,3,3,2,2,12,21.8319075430516
5,3,3,2,2,13,21.3887161137822
5,3,3,2,2,14,20.5035001569975
5,3,3,2,2,15,19.2991730161214
5,3,3,2,2,16,17.8935364202116
5,3,3,2,2,17,16.383361228586
5,3,3,2,2,18,14.8389311621607
5,3,3,2,2,19,13.3077184010952
5,3,3,2,2,20,11.8243812328056
5,3,3,2,2,21,10.4214633509502
5,3,3,2,2,22,9.13605635654086
5,3,3,2,2,23,8.00987638488254
5,3,3,2,2,24,7.08320973963833
5,3,3,2,2,25,6.38520346799656
5,3,3,2,2,26,5.92406051984383
5,3,3,2,2,27,5.68078886889141
5,3,3,2,2,28,5.60925028375411
5,3,3,2,2,29,5.64237979782788
5,3,3,2,2,30,5.70399287714273
5,3,3,2,2,31,5.72317000111468
5,3,3,2,2,32,5.64779360712099
5,3,3,2,2,33,5.4531787368113
5,3,3,2,2,34,5.14411566912381
5,3,3,2,2,35,4.74977136052673
5,3,3,2,2,36,4.31435528570967
5,3,3,2,2,37,3.88618482538145
5,3,3,2,2,38,3.50833332864811
5,3,3,2,2,39,3.21266040226549
5,3,3,2,2,40,3.01779627696971
5,3,3,2,2,41,2.92981988556305
5,3,3,2,2,42,2.94458849802781
5,3,3,2,2,43,3.05071905501738
5,3,3,2,2,44,3.23288625841705
5,3,3,2,2,45,3.4754543625301
5,3,3,2,2,46,3.7659273415994
5,3,3,2,2,47,4.09747127170542
5,3,3,2,2,48,4.4701950740638
5,3,3,2,2,49,4.89167814331708
5,3,3,2,2,50,5.37719634525573
5,3,3,2,2,51,5.95007652563441
5,3,3,2,2,52,6.641838070288
5,3,3,2,2,53,7.49211222650575
5,3,3,2,2,54,8.54797468423267
5,3,3,2,2,55,9.86178258736372
5,3,3,2,2,56,11.486951851094
5,3,3,2,2,57,13.471699424786
5,3,3,2,2,58,15.8515303045649
5,3,3,2,2,59,18.6411266188825
5,3,3,2,2,60,21.8268511817503
5,3,3,2,2,61,25.3614400624688
5,3,3,2,2,62,29.1655714282353
5,3,3,2,2,63,33.1377121256193
5,3,3,2,2,64,37.169158427355
5,3,3,2,2,65,41.1565779902913
5,3,3,2,2,66,45.0077566955603
5,3,3,2,2,67,48.6425879387476
5,3,3,2,2,68,51.9941456072976
5,3,3,2,2,69,55.0115108857209
5,3,3,2,2,70,57.6627717085742
5,3,3,2,2,71,59.9355405402835
5,3,3,2,2,72,61.8323728351006
5,3,3,2,2,73,63.3623997620645
5,3,3,2,2,74,64.5325988824459
5,3,3,2,2,75,65.3428584303371
5,3,3,2,2,76,65.7863731544107
5,3,3,2,2,77,65.8542575640178
5,3,3,2,2,78,65.5415430926765
5,3,3,2,2,79,64.8519718335996
5,3,3,2,2,80,63.7997872019382
5,3,3,2,2,81,62.4079776851278
5,3,3,2,2,82,60.703572443332
5,3,3,2,2,83,58.7119314670698
5,3,3,2,2,84,56.4518170094271
5,3,3,2,2,85,53.9326769786657
5,3,3,2,2,86,51.1550100901392
5,3,3,2,2,87,48.1141240626665
5,3,3,2,2,88,44.8064132617251
5,3,3,2,2,89,41.2370123602437
5,3,3,2,2,90,37.4276714373474
5,3,3,2,2,91,33.4239465892719
5,3,3,2,2,92,29.3002218138554
5,3,3,2,2,93,25.1616655990568
5,3,3,2,2,94,21.1402148987369
5,3,3,2,2,95,17.3837632781255
5,3,3,2,2,96,14.0386578332295
5,3,3,2,2,97,11.2288990088439
5,3,3,2,2,98,9.03681875838331
5,3,3,2,2,99,7.49208066351789
5,3,3,2,2,100,6.57223042815752
