subject,condition,replication,leg,joint,time,angle
4,3,10,2,3,0,23.815618676345
4,3,10,2,3,1,23.1978066607512
4,3,10,2,3,2,22.6096990869117
4,3,10,2,3,3,22.0552235446876
4,3,10,2,3,4,21.5478500118555
4,3,10,2,3,5,21.105204927215
4,3,10,2,3,6,20.7402119668031
4,3,10,2,3,7,20.4524093532325
4,3,10,2,3,8,20.2235284886898
4,3,10,2,3,9,20.0204294111242
4,3,10,2,3,10,19.803910723807
4,3,10,2,3,11,19.5392712538559
4,3,10,2,3,12,19.2039157110457
4,3,10,2,3,13,18.7894321835824
4,3,10,2,3,14,18.2988478572727
4,3,10,2,3,15,17.7409757861671
4,3,10,2,3,16,17.1250159595295
4,3,10,2,3,17,16.4573797101356
4,3,10,2,3,18,15.7409992128874
4,3,10,2,3,19,14.9761506229495
4,3,10,2,3,20,14.1615936416216
4,3,10,2,3,21,13.2958132420837
4,3,10,2,3,22,12.3787384601551
4,3,10,2,3,23,11.4140612532987
4,3,10,2,3,24,10.4116110909826
4,3,10,2,3,25,9.38843727640047
4,3,10,2,3,26,8.36764254237498
4,3,10,2,3,27,7.37445389284562
4,3,10,2,3,28,6.43037221735665
4,3,10,2,3,29,5.54756840310226
4,3,10,2,3,30,4.7256462123342
4,3,10,2,3,31,3.95192675713028
4,3,10,2,3,32,3.20451993624022
4,3,10,2,3,33,2.45747900034651
4,3,10,2,3,34,1.68712333838491
4,3,10,2,3,35,0.878207709403754
4,3,10,2,3,36,0.0283897987661072
4,3,10,2,3,37,-0.850791788207639
4,3,10,2,3,38,-1.7372081351405
4,3,10,2,3,39,-2.6050524813041
4,3,10,2,3,40,-3.43253531237143
4,3,10,2,3,41,-4.20722803147043
4,3,10,2,3,42,-4.92753710571944
4,3,10,2,3,43,-5.60006425368104
4,3,10,2,3,44,-6.23406384844478
4,3,10,2,3,45,-6.83560723673723
4,3,10,2,3,46,-7.40445087554822
4,3,10,2,3,47,-7.9348323648539
4,3,10,2,3,48,-8.41848357400545
4,3,10,2,3,49,-8.84694132744561
4,3,10,2,3,50,-9.21123240274662
4,3,10,2,3,51,-9.49908344957703
4,3,10,2,3,52,-9.6916262440265
4,3,10,2,3,53,-9.76212768454945
4,3,10,2,3,54,-9.67817708263299
4,3,10,2,3,55,-9.40696523921531
4,3,10,2,3,56,-8.92185519015679
4,3,10,2,3,57,-8.20790005671117
4,3,10,2,3,58,-7.2648485397582
4,3,10,2,3,59,-6.10721606120531
4,3,10,2,3,60,-4.7614387760264
4,3,10,2,3,61,-3.26084803732699
4,3,10,2,3,62,-1.63984226401143
4,3,10,2,3,63,0.0706035642985459
4,3,10,2,3,64,1.84450284943538
4,3,10,2,3,65,3.65933747811825
4,3,10,2,3,66,5.49330739767384
4,3,10,2,3,67,7.32423051670505
4,3,10,2,3,68,9.13111514995049
4,3,10,2,3,69,10.8967505204451
4,3,10,2,3,70,12.6090838176492
4,3,10,2,3,71,14.2608486200845
4,3,10,2,3,72,15.8483434341061
4,3,10,2,3,73,17.3705180382132
4,3,10,2,3,74,18.8283392753619
4,3,10,2,3,75,20.2236453508806
4,3,10,2,3,76,21.5571354004703
4,3,10,2,3,77,22.8267021601694
4,3,10,2,3,78,24.0275669799581
4,3,10,2,3,79,25.153688875469
4,3,10,2,3,80,26.1984747805936
4,3,10,2,3,81,27.1537451885031
4,3,10,2,3,82,28.0078934315866
4,3,10,2,3,83,28.7446148548644
4,3,10,2,3,84,29.3431064165877
4,3,10,2,3,85,29.7799171702864
4,3,10,2,3,86,30.0326812342452
4,3,10,2,3,87,30.085590454212
4,3,10,2,3,88,29.9355099583768
4,3,10,2,3,89,29.5964174738428
4,3,10,2,3,90,29.0984045516134
4,3,10,2,3,91,28.4805362652115
4,3,10,2,3,92,27.7808310121254
4,3,10,2,3,93,27.0295793831125
4,3,10,2,3,94,26.2491381344894
4,3,10,2,3,95,25.4578300678485
4,3,10,2,3,96,24.6735983371131
4,3,10,2,3,97,23.9149171921015
4,3,10,2,3,98,23.200057228244
4,3,10,2,3,99,22.5467868736753
4,3,10,2,3,100,21.9727117009065
